*****************************
*** Declaration key words ***
*****************************

class|Declare class|<html>Declare the class in ASM files:<br><table border=1><tr><td>class &lt;ClassCompleteName&gt;</td></tr></table></html>
}|Close code|Close the code for a method (End method declaration)
extends|Parent class|<html>Specifies the parent class:<br><table border=1><tr><td>extends &lt;ClassName&gt;</td></tr></table></html>
field|Field declaration|<html>Declare a field:<br><table border=1><tr><td>field &lt;type&gt; &lt;name&gt;</td></tr></table></html>
field_reference|Reference to external field|<html>Declare a reference to external field<br>Filed not on this class<br><table border=1><tr><td>field_reference &lt;className&gt; &lt;type&gt; &lt;name&gt; &lt;alias&gt;</td></tr></table><ul><li><b>className</b> Name of the class where find the field</li><li><b>type</b> Type of the field</li><li><b>name</b> Name of the field in the class</li><li><b>alias</b> Alias to use to reference this field in <i>GETFIELD</i>, <i>GETSTATIC</i>, <i>PUTFIELD</i> or <i>PUTSTATIC</i></li></ul></html>
implements|Interface implementation|<html>Add interface to implements:<br><table border=1><tr><td>implements &lt;ClassName&gt;</td></tr></table></html>
import|Import class|<html>Add an import:<br><table border=1><tr><td>import &lt;ClassCompleteName&gt;</td></tr></table></html>
method|Method declaration|<html>Start method declaration:<br><table border=1><tr><td>method &lt;name&gt;</td></tr></table></html>
{|Open code|Start the method code
parameter|Add parameter|<html>Add method parameter:<br><table border=1><tr><td>parameter &lt;type&gt; &lt;name&gt;</td></tr></table></html>
return|Return type|<html>Declare method return type:<br><table border=1><tr><td>return &lt;type&gt;</td></tr></table></html>
throws|Throw declaration|<html>Add exception throws by method:<br><table border=1><tr><td>throws &lt;ClassName&gt;</td></tr></table></html>********************

*********************
*** Operand codes *** 
*********************

AALOAD|Load from array|<html>Description : Load object reference from array<br>Syntax :<br><table border=1><tr><td>AALOAD</td></tr></table>Operand stack :<table border=1><tr><td>..., array_reference, index => ..., value</td></tr></table><br>Where :<ul><li>arrayref : Reference of array elements type</li><li>index : Array index (int)</li><li>value : Reference of the desired object inside the array</li></ul></html> 
AASTORE|Store into array|<html>Description : Store object reference into array<br>Syntax :<br><table border=1><tr><td>AASTORE</td></tr></table>Operand stack :<table border=1><tr><td>..., array_reference, index, value => ...</td></tr></table><br>Where :<ul><li>arrayref : Reference of array elements type</li><li>index : Array index (int)</li><li>value : Reference object to put inside the array at desired index</li></ul></html>
ACONST_NULL|Push null|<html>Description : Push null<br>Syntax :<br><table border=1><tr><td>ACONST_NULL</td></tr></table><br>Operand stack : <table border=1><tr><td>... => ..., null</td></tr></table></html>
ALOAD|Load local variable|<html>Description : Load reference from local variable<br>Syntax :<br><table border=1><tr><td>ALOAD &ltname&gt;</td></tr></table><br>Where :<ul><li>name : Current method variable name OR current method parameter name OR 'this'</li></ul><br>Operand stack : <table border=1><tr><td>... => ..., objectref</td></tr></table><br>Where :<ul><li>objectref : Reference object loaded</li></ul><br>Details: If <i>name</i> is a method variable name, the corresponding variable must have previously initialized (Even with null)</html>
ANEWARRAY|Create array|<html>Description : Create new array of reference<br>Syntax :<br><table border=1><tr><td>ANEWARRAY &lt;Type&gt;</td></tr></table><br>Where :<ul><li>Type : is the variable type.</li></ul><br>Operand stack : <table border=1><tr><td>..., count => ..., arrayref</td></tr></table><br>Where :<ul><li>count : Array size (int)</li><li>arrayref : Reference on created array</li></ul></html>
ARETURN|Return reference|<html>Description : Return reference from method <br> Syntax :<br> <table border=1><tr><td>ARETURN</td></tr></table><br> Operand stack : <table border=1><tr><td>..., objectref => [empty]</td></tr></table><br> Where : <ul> <li>objectref : reference of object to return</li> </ul> <br> Details:If the current method is a synchronized method, the monitor entered or reentered on invocation of the method is updated and possibly exited as if by execution of a monitorexit instruction in the current thread. If no exception is thrown, <b>objectref</b> is popped from the operand stack of the current frame and pushed onto the operand stack of the frame of the invoker. Any other values on the operand stack of the current method are discarded.</html>
ARRAYLENGTH|Array length|<html>Description : Get length of array<br> Syntax :<br> <table border=1><tr><td>ARRAYLENGTH</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref => ..., length</td></tr></table><br> Where : <ul> <li>arrayref : Reference on aarray</li> <li>length : Array length (int)</li> </ul></html>
ASTORE|Store in local variable|<html>Description : Store reference into local variable<br> Syntax :<br> <table border=1><tr><td>ASTORE &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> <br> Operand stack : <table border=1><tr><td>..., objectref => ...</td></tr></table><br> Where : <ul> <li>objectref : Object reference to push on local variable</li> </ul></html>
ATHROW|Throw exception|<html>Description : Throw exception or error<br> Syntax :<br> <table border=1><tr><td>ATHROW</td></tr></table><br> Operand stack : <table border=1><tr><td>.., objectref => objectref</td></tr></table><br> Where : <ul> <li>objectref : Reference on exception to throw</li> </ul></html>
BALOAD|Load byte/boolean from array|<html>Description : Load byte or boolean from array<br> Syntax :<br> <table border=1><tr><td>BALOAD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index => ..., value</td></tr></table><br> Where : <ul> <li>arrayref : reference on array</li> <li>index : Array index (int)</li> <li>value : Value in array at given index (int)</li> </ul> <br> Details: The byte value in the component of the array at <b>index</b> is retrieved, sign-extended to an int value, and pushed onto the top of the operand stack.</html>
BASTORE|Store byte/boolean to array|<html>Description : Store into byte or boolean array<br> Syntax :<br> <table border=1><tr><td>BASTORE</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index, value => ...</td></tr></table><br> Where : <ul> <li>arrayref : reference on array</li> <li>index : Array index (int)</li> <li>value : Value to store in array at given index (int)</li> </ul> <br> Details:The int <b>value</b> is truncated to a byte and stored as the component of the array indexed by <b>index</b>.</html>
BIPUSH|Push byte|<html>Description : Push byte<br> Syntax :<br> <table border=1><tr><td>BIPUSH &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : Constant value to push</li> </ul> <br> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value: pushed value (int)</li> </ul> <br> Details: The immediate <b>value</b> is sign-extended to an int <b>value</b>. That <b>value</b> is pushed onto the operand stack.</html>
BREAKPOINT|Break point|<html>Description : Make a break point. Here does nothing<br> Syntax :<br> <table border=1><tr><td>BREAKPOINT</td></tr></table></html>
CALOAD|Load char from array|<html>Description : Load char from array<br> Syntax :<br> <table border=1><tr><td>CALOAD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index => ..., value</td></tr></table><br> Where : <ul> <li>arrayref : reference on array</li> <li>index : Array index (int)</li> <li>value : Value in array at given index (int)</li> </ul> <br> Details: The component of the array at index is retrieved and zero-extended to an int value. That value is pushed onto the operand stack.</html>
CASTORE|Store char to array|<html>Description : Store into char array<br> Syntax :<br> <table border=1><tr><td>CASTORE</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index, value => ...</td></tr></table><br> Where : <ul> <li>arrayref : reference on array</li> <li>index : Array index (int)</li> <li>value : Value to put in array at given index (int)</li> </ul> <br> Details: The int value is truncated to a char and stored as the component of the array indexed by index.</html>
CHECKCAST|Cast object|<html>Description : Cast object to given type<br> Syntax :<br> <table border=1><tr><td>CHECKCAST &lt;ClassName&gt;</td></tr></table><br> Where : <ul> <li>ClassName : The complete class name (with the package) or the short version (Must be in imports, "java.lang" or same package of the class)</li> </ul> <br> Operand stack : <table border=1><tr><td>..., objectref1 => ..., objectref2</td></tr></table><br> Where : <ul> <li>objectref1 : reference to the object to cast</li><li>objectref2 : casted reference</li> </ul> <br> Details: The cast must be possible else a ClassCastException happen</html>
D2F|double TO float|<html>Description : Convert double to float<br> Syntax :<br> <table border=1><tr><td>D2F</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : double to convert</li> <li>result : float converted</li> </ul> <br> Details: The value is converted to a float result using IEEE 754 round to nearest mode</html>
D2I|double TO int|<html>Description : Convert double to int<br> Syntax :<br> <table border=1><tr><td>D2I</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : double to convert</li> <li>result : int converted</li> </ul> <br> Details: <ul> <li>If the value' is NaN, the result of the conversion is an int 0</li> <li>Otherwise, if the value is not an infinity, it is rounded to an integer value V, rounding towards zero using IEEE 754 round towards zero mode. If this integer value V can be represented as an int, then the result is the int value V.</li> <li>Otherwise, either the value must be too small (a negative value of large magnitude or negative infinity), and the result is the smallest representable value of type int, or the value must be too large (a positive value of large magnitude or positive infinity), and the result is the largest representable value of type int.</li> </ul></html>
D2L|double TO long|<html>Description : Convert double to long<br> Syntax :<br> <table border=1><tr><td>D2L</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : double to convert</li> <li>result : long converted</li> </ul> <br> Details: <ul> <li>If the value' is NaN, the result of the conversion is a long 0.</li> <li>Otherwise, if the value' is not an infinity, it is rounded to an integer value V, rounding towards zero using IEEE 754 round towards zero mode. If this integer value V can be represented as a long, then the result is the long value V.</li> <li>Otherwise, either the value' must be too small (a negative value of large magnitude or negative infinity), and the result is the smallest representable value of type long, or the value' must be too large (a positive value of large magnitude or positive infinity), and the result is the largest representable value of type long.</li> </ul></html>
DADD|Addition of double|<html> Description : Add double<br> Syntax :<br> <table border=1><tr><td>DADD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first double</li> <li>value2 : second double</li> <li>result : addition result (double)</li> </ul></html>
DALOAD|Load double from array|<html> Description : Load double from array<br> Syntax :<br> <table border=1><tr><td>DALOAD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index => ..., value</td></tr></table><br> Where : <ul> <li>arrayref : reference on array</li> <li>index : Array index (int)</li> <li>value : Value in array at given index (double)</li> </ul></html>
DASTORE|Store double to array|<html> Description : Store into double array<br> Syntax :<br> <table border=1><tr><td>DASTORE</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index, value => ...</td></tr></table><br> Where : <ul> <li>arrayref : reference on array</li> <li>index : Array index (int)</li> <li>value : Value to put in array at given index (double)</li> </ul></html>
DCMPG|Compare double|<html> Description : Compare double (Great if NaN)<br> Syntax :<br> <table border=1><tr><td>DCMPG</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first double</li> <li>value2 : second double</li> <li>result : comparison result (int)</li> </ul> <br> Details: <ul> <li>If value1' is greater than value2', the int value 1 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is equal to value2', the int value 0 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is less than value2', the int value -1 is pushed onto the operand stack.</li> <li>Otherwise, at least one of value1' or value2' is NaN pushes the int value 1 onto the operand stack</li> </ul></html>
DCMPL|Compare double|<html> Description : Compare double (Low if NaN)<br> Syntax :<br> <table border=1><tr><td>DCMPG</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first double</li> <li>value2 : second double</li> <li>result : comparison result (int)</li> </ul> <br> Details: <ul> <li>If value1' is greater than value2', the int value 1 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is equal to value2', the int value 0 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is less than value2', the int value -1 is pushed onto the operand stack.</li> <li>Otherwise, at least one of value1' or value2' is NaN pushes the int value -1 onto the operand stack</li> </ul></html>
DCONST|Push 0 or 1|<html> Description : Push double 0 or 1<br> Syntax :<br> <table border=1><tr><td>DCONST &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : Must be 0 or 1</li> </ul> <br> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : the value pushed (0 or 1) (double)</li> </ul></html>
DDIV|Division of double|<html> Description : Divide double<br> Syntax :<br> <table border=1><tr><td>DADD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first double</li> <li>value2 : second double</li> <li>result : division result (double)</li> </ul></html>
DLOAD|Load local variable|<html> Description : Load double from local variable<br> Syntax :<br> <table border=1><tr><td>DLOAD &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> <br> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : value of the method variable or parameter</li> </ul> <br> Details: If <table border=1><tr><td>name</td></tr></table> is a method variable name, the corresponding variable must have previously initialized (Even with 0)</html>
DMUL|Multiplication of double|<html> Description : Multiply double<br> Syntax :<br> <table border=1><tr><td>DMUL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first double</li> <li>value2 : second double</li> <li>result : multiplication result (double)</li> </ul></html>
DNEG|Negate double|<html> Description : Negate double<br> Syntax :<br> <table border=1><tr><td>DNEG</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : Value to negate (double)</li> <li>result : Negated result (double)</li> </ul></html>
DREM|Remainder of double|<html> Description : Remainder on double<br> Syntax :<br> <table border=1><tr><td>DREM</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first double</li> <li>value2 : second double</li> <li>result : remainder result (double)</li> </ul></html>
DRETURN|Return double|<html> Description : Return double from method<br> Syntax :<br> <table border=1><tr><td>DRETURN</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => [empty]</td></tr></table><br> Where : <ul> <li>value : value to return (double)</li> </ul></html>
